,Date,Price,Open,High,Low,Volume,Change(%)
301,24 Jul 2023,3394.75,3381.00,3413.45,3372.10,1680132,0.79%
302,21 Jul 2023,3368.30,3404.05,3434.90,3359.05,3770223,-2.74%
303,20 Jul 2023,3463.30,3453.10,3478.90,3436.05,1715404,-0.19%
304,19 Jul 2023,3470.05,3500.00,3516.85,3445.65,2405370,-0.77%
305,18 Jul 2023,3496.85,3476.00,3524.00,3465.00,2600090,0.15%
306,17 Jul 2023,3491.70,3510.00,3549.90,3477.05,2743228,-0.65%
307,14 Jul 2023,3514.65,3365.00,3524.85,3352.00,6306101,5.21%
308,13 Jul 2023,3340.55,3284.00,3367.45,3272.75,4585146,2.47%
309,12 Jul 2023,3259.90,3280.95,3289.15,3250.10,1515240,-0.38%
310,11 Jul 2023,3272.40,3295.00,3295.00,3260.80,1110172,0.01%
311,10 Jul 2023,3271.95,3324.75,3324.75,3265.20,1407431,-1.72%
312,07 Jul 2023,3329.25,3302.00,3356.90,3302.00,1789326,0.19%
313,06 Jul 2023,3322.90,3306.55,3328.45,3302.00,1848238,0.09%
314,05 Jul 2023,3319.95,3320.00,3329.00,3305.00,1453008,0.34%
315,04 Jul 2023,3308.85,3290.00,3315.00,3277.30,1656681,1.12%
316,03 Jul 2023,3272.30,3314.30,3318.80,3268.75,1687264,-0.91%
317,30 Jun 2023,3302.25,3220.00,3310.00,3214.10,2672406,2.70%
318,28 Jun 2023,3215.45,3208.00,3230.95,3193.40,1575872,0.57%
319,27 Jun 2023,3197.35,3202.00,3209.65,3182.30,863542,0.24%
320,26 Jun 2023,3189.65,3205.00,3213.90,3173.00,1978803,-0.83%
321,23 Jun 2023,3216.35,3237.30,3249.40,3209.15,1119505,-0.68%
322,22 Jun 2023,3238.50,3260.00,3267.65,3230.10,1529603,-0.60%
323,21 Jun 2023,3258.20,3250.00,3261.40,3223.95,1645987,0.94%
324,20 Jun 2023,3227.70,3214.00,3232.50,3201.05,1528452,0.54%
325,19 Jun 2023,3210.40,3190.00,3214.90,3175.00,1468186,1.12%
326,16 Jun 2023,3174.90,3197.00,3199.40,3156.00,4156189,-1.29%
327,15 Jun 2023,3216.30,3245.30,3247.45,3210.00,2273810,-1.07%
328,14 Jun 2023,3251.05,3243.70,3255.85,3225.85,1658544,0.23%
329,13 Jun 2023,3243.70,3260.00,3265.00,3239.00,1371928,-0.10%
330,12 Jun 2023,3246.90,3215.00,3254.40,3211.00,2324605,1.17%
331,09 Jun 2023,3209.30,3245.00,3250.00,3205.35,1775689,-0.84%
332,08 Jun 2023,3236.45,3261.00,3270.00,3233.00,1759366,-1.17%
333,07 Jun 2023,3274.90,3253.00,3278.85,3241.00,1567196,1.32%
334,06 Jun 2023,3232.30,3280.00,3288.85,3220.60,2022849,-1.72%
335,05 Jun 2023,3288.90,3315.00,3327.00,3285.05,1861468,-0.51%
336,02 Jun 2023,3305.60,3326.25,3335.90,3297.45,2030661,-0.55%
337,01 Jun 2023,3324.00,3314.00,3340.00,3297.50,1177314,1.05%
338,31 May 2023,3289.50,3309.00,3327.70,3265.15,5815424,-0.81%
339,30 May 2023,3316.20,3315.00,3326.95,3301.35,1344224,-0.12%
